TraceView Name:,Technical Requirements,,,,,,
,,,,,,,
Source,,,,1 Level Downstream,,,
Item Type,ID,Name,Description,Item Type,ID,Name,Description
Technical Requirement,GDP-GDSTR-7,Automatically clear printer warning,System shall automatically clear the printer warning message after 60 seconds.,,,,
Technical Requirement,GDP-GDSTR-8,Automatically celete PowerStatus.log,"System shall automatically delete ""PowerStatus.log"" after default",,,,
Technical Requirement,GDP-GDSTR-9,Matching report title and footer text,"With the ""Test Results by Loaded Date"" report, the title and footer text shall match.",,,,
Technical Requirement,GDP-GDSTR-10,Automatically resume loading cassettes,"When incubator space becomes available, system shall automatically resume loading cassettes. (Examples: Serial Incubation, cassettes free spaces as they are emptied to trash)",,,,
Technical Requirement,GDP-GDSTR-11,Generate reports against archived data,System shall provide functionality to generate reports against archived data.,,,,
Technical Requirement,GDP-GDSTR-12,"Report duplicate ""Serial Number"" cassette detected","System shall report to user on detecting a duplicate ""Serial Number"" cassette being loaded into system.",,,,
Technical Requirement,GDP-GDSTR-13,Move duplicate cassette to the Output Queue,"On detecting a duplicate SN during loading, the System shall move the duplicate cassette to the Output Queue. Note: This may entail moving cassette first to incubator and marking to Output Queue.",,,,
Technical Requirement,GDP-GDSTR-14,Display multiple warning messages,System shall have the ability to displayed multiple warning message,,,,
Technical Requirement,GDP-GDSTR-15,Prevent loading when shuttle is in wrong position,"System shall not attempt cassette loading while the shuttle is in the incorrect ""Output Queue"" position. Note: This may only need to be checked during recovery/cleanup.",,,,
Technical Requirement,GDP-GDSTR-16,Remove harsh wording from customer facing text,"Remove any customer facing text (UI, reports) containing harsh words (Fatal failure).",,,,
Technical Requirement,GDP-GDSTR-17,Reject cassettes containing LIMS labels,A non-LIMS System shall reject any cassettes containing LIMS labels. Those cassettes shall be moved to Output Queue similar to duplicate SN.,,,,
Technical Requirement,GDP-GDSTR-18,Unlimited length SampleID and Batch/LOT,"System shall support ""Sample ID"" barcode label with unlimited length SampleID and Batch/LOT.",,,,
Technical Requirement,GDP-GDSTR-19,Improved vision calibration workflow,System shall have improved camera vision calibration/setup screen,,,,
Technical Requirement,GDP-GDSTR-20,Push LIMS settings to GrowthDirect,"LIMS system shall have ability to push updated setting; Sample ID, Methods, Handling Rules to GrowthDirect system.",,,,
Technical Requirement,GDP-GDSTR-22,Display LIMS ID instead of SN,"For Audit reports, the System shall have ability to display LIMS ID instead of cassette SN.",Verification,GDP-Verfication-1866,Test the display of LIMS ID in User Activity in Audit Report ,"This test is to test 20 character LIMS ID with Multiple 20-character Sample IDs


  "
Technical Requirement,GDP-GDSTR-22,Display LIMS ID instead of SN,"For Audit reports, the System shall have ability to display LIMS ID instead of cassette SN.",Verification,GDP-Verfication-1867,Test LIMS ID of cancel order displays in User Activity in Audit Report ,"This test is to test 20 character LIMS ID with Multiple 20-character Sample IDs


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1454,Test 0046 Printing over to Network Barcode Printer  - Sample ID labels ,"This adhoc test case is to test printing with a network Barcode printer


 

 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1455,Test 0049 Printing  over to USB Barcode printer  - Sample ID labels ,"This adhoc test case is to test printing with a USB Barcode printer


 

 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1456,Test 0047 Printing over to Network Barcode Printer - Same LIMS labels and same Sample labels,"This adhoc test case is to test printing with a network Barcode printer


 

 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1457,Test 0050 Printing over to USB Barcode printer - Same LIMS labels with same Sample labels,"This adhoc test case is to test printing with a network Barcode printer


 

 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1458,Test 0052 Printing over to network paper printer  - Test Report,"This adhoc test case is to test printing with a USB Barcode printer


 

 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1459,Test 0054 Backing up the Database to Bridge,"This adhoc test case is to test Backing up the Database to Bridge


 

 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1460,Test 0048 Printing over to Network Barcode Printer - a LIMS label with Different Sample ID Labels,"This adhoc test case is to test printing with a network Barcode printer


 

 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1461,Test 0051 Printing over to USB Barcode printer - Sample LIMS label with Different Sample labels,"This adhoc test case is to test printing with a network Barcode printer


 

 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1462,Test 0053 Printing over to network paper printer  - Test Report,"This adhoc test case is to test printing with a USB Barcode printer


 

 


  "
Technical Requirement,GDP-GDSTR-23,Offload print to Bridge Computer,System shall offload print (reports/barcode) functionality to Bridge computer.,Verification,GDP-Verfication-1554,Test Delete button,"This test case is to test that no error occurs when all default buttons are click 


  


  Setup and Configuration 


 1. GrowthDirect with Hardware Simulator


 2. Install GrowthDirect application and Install Bridge service on the bridge


 3. Connect Bridge to GrowthDirect System


 4. Launch GrowthDirect 


 4. Do not do anything else,see the screenshot below


  "
