TraceView Name:,Verifications,,,,,,
,,,,,,,
1 Level Upstream,,,,Source,,,
Item Type,ID,Name,Description,Item Type,ID,Name,Description
,,,,Folder,GDP-FLD-57,SRD1059  Help about dialog box,
,,,,Verification,GDP-Verfication-1502,Overview,"Test Case, Written By:  Hoang Thai  Date: 11/7/2017          Reviewed By:    Bruce Brennan             Date: 11/7/2017                Updated By: Chris Winsor  Date: 1/18/2018 

PRD SRD 1059 TFS 3678 FR - Need additional SW Versions in the Help About dialog box, also remove the dll references

Pre-requisites: 
Please see screenshot and copy all test data into \\10.0.0.48\sqa\2.3.2_SW_Project\VVR\PRD\TFS_3678 FR - Need additional SW Versions in the Help About dialog box, also remove the dll references"
,,,,Verification,GDP-Verfication-611,Test: Help about dialog box," 


  "
,,,,Folder,GDP-FLD-60,SRD1002 Test Results by Loaded Date - Title and footer are matching ,
,,,,Verification,GDP-Verfication-1503,Overview,"Test Case, Written By:  Hoang Thai  Date: 10/17/2017          Reviewed By:    Bruce Brennan             Date: 0/17/2017               Reviewed By:  Chris Winsor   Date:  1/18/2018

PRD SRD 1002 TFS 1975 - Updated text in footer to match header

Pre-requisites: 
Run this test on Simulator
Note: Please copy all Test Data to \\10.0.0.48\sqa\2.3.2_SW_Project\VVR\PRD\TFS_1975- Updated text in footer to match header\Test Data"
,,,,Verification,GDP-Verfication-619,Test: Test Results by Loaded Date - Title and footer are matching,
,,,,Folder,GDP-FLD-63,SRD1029 To have better message when running empty Audit report,
,,,,Verification,GDP-Verfication-1504,Overview,"Test Case, Written By: Hoang Thai Date: 11/1/2017 Reviewed By: Bruce Brennan Date: 11/1/2017



PRD SRD 1029 TFS 653 - Reports - Need better error message for 'no data' when running empty Audit Report



The test exercises the ""Audit"" reporting in the case when no changes have been made to the system.

This specifically hits the case in the TFS where there is no data for the report,

but also verifies the closely related case where the audit report should have data to report on a fresh/clean/unchanged system (initial conditions).



Pre-requisites:

1. Ensure that no database is existed

2. Install a fresh GrowthDirect

Note: see screenshots and copy all related info into \\10.0.0.48\sqa\2018_SW_Projects\2.3.3_GD_System\VVR\PRD\SRD1029 TFS653 Reports - Need better error message for 'no data' when running empty Audit Report is fixed


  


 When No Data is available with old way


  


  


  


 New way


  


  


  


  


  


  "
,,,,Verification,GDP-Verfication-655,Test Methods page having a better display message when empty Audit report is run,"This test case is to test new displays of Audit report when there is no data available 


  


  The following is an old Screenshot and it should not display 


  


  


  


  


  The following is a new screenshot and it should display"
,,,,Verification,GDP-Verfication-656,Test Action Alert Levels page having a better display message when empty Audit report is run,
,,,,Verification,GDP-Verfication-657,Test Handling Rule page having a better display message when empty Audit report is run,
,,,,Verification,GDP-Verfication-658,Test Samples page having a better display message when empty Audit report is run,
,,,,Verification,GDP-Verfication-659,Test Worklists page having a better display message when empty Audit report is run,
,,,,Verification,GDP-Verfication-660,Test General/IT Settings page having a better display when empty Audit Report is run," 


  "
,,,,Verification,GDP-Verfication-661,Test General Incubator Settings display when empty Audit Report is run,
,,,,Verification,GDP-Verfication-662,Test Users page display when empty Audit Report is run,
,,,,Verification,GDP-Verfication-663,Test User Roles page display when empty Audit report is run,
,,,,Verification,GDP-Verfication-664,Test User Activity page display when empty Audit Report is run," 


  "
,,,,Folder,GDP-FLD-65,"SRD1032 Name Fields - In Name fields, please make validation messages more specific so the user knows why",
,,,,Verification,GDP-Verfication-1505,SRD1032 - Overview,"SRD1032


   When entering names (Methods, Action/Alert, Handling Rules, Worklist) system shall provide improved error message. Note: On implementation is was found the issue was embedded spaces character so removing those character solved issue instead of change message  


  


 +=====================


   TFS 1433  


   Summarized as:  


     Place focus in any Name field and type in an alpha character the user is presented this error message    


              1. A space character is not an invalid value, the systems should not warn the user that it is an invalid character.    


     2. The error message goes away when another alpha character follows the space. Not sure why we need the error message?    


      3. If two consecutive space characters are entered in followed by an alpha character the error message is not removed leaving the users guessing what they did wrong.     


  


  


 +===================


 Test Plan:


 The change as described is improved error messages when entering names. Specifically cited in the TFS is the case when typing in a Name, if a space character is entered the user immediately sees ""Invalid Value"".  If the intent is to create a Name with a space in the middle which is valid  (e.g. ""foo bar"") this is distracting/confusing.


 Additionally there is followup about double-blanks, preceding blanks, and suffix blanks.


  


 The change improves error messaging when entering names.


 User can type any valid characters, blanks at prefix and suffix are trimmed, and double-blanks that are inside are coalesced into a single blank.  A check is then made against existing Names.


  


 Note the SRD and TFS do not talk about upgrading from earlier versions, CSV import, or detecting/handling invalid/unsupported characters.


  


 The test is to type in a variety of Names with embedded, preceding, suffix blanks, user doesn't get error messages, confirm trims work, and confirm check of existing Names works.


  "
,,,,Verification,GDP-Verfication-757,SRD1032 - Test Method name including a space character at the end,
,,,,Verification,GDP-Verfication-758,SRD1032 - Test Method name including a few space characters in between alphanumeric,
,,,,Verification,GDP-Verfication-759,"SRD1032 - Test Method name including a few space characters, alphanumeric characters, spaces",
,,,,Verification,GDP-Verfication-760,"SRD1032 - Test Method name begins a few space characters,  alphanumeric characters, spaces",
,,,,Verification,GDP-Verfication-761,SRD1032 - Test Method name confirm that check for pre-existing name still works,
,,,,Verification,GDP-Verfication-762,SRD1032 - Test Action/Alert Levels,
,,,,Verification,GDP-Verfication-767,SRD1032 - Test Handling Rules,
,,,,Verification,GDP-Verfication-772,SRD1032 - Test Samples,
,,,,Verification,GDP-Verfication-777,SRD1032 - Test Worklists,
,,,,Verification,GDP-Verfication-782,SRD1032 - Test User Roles,
,,,,Folder,GDP-FLD-97,SRD1033,
,,,,Verification,GDP-Verfication-1526,Overview,"Updated: Winsor 5/3/2018 - Reviewed the upgrade path requirements w/BB and now will focus on (1) upgrade path plus a fresh install:


 
	 2.3.1.15 --->  2.3.3.x 
	 Fresh installed 2.3.3.x 
 

 Test Case, Written By: Hoang Thai Date: 10/19/2017 Reviewed By: Bruce Brennan Date: 0/19/2017



PRD SRD1033 TFS 2361 Samples - Import - Able to import csv file that contains sample name with invalid charactors


 Pre-requisites:


 Get two ImportSample1.csv and ImportSample2.csv files at location \\10.0.0.48\sqa\2018_SW_Projects\2.3.3_GD_System\VVR\PRD\SRD_1033_TFS_2361 Samples - Import - Able to import csv file that contains sample name with invalid charactors\Test Data


  


  Note:  Please copy all Test Data to \\10.0.0.48\sqa\2018_SW_Projects\2.3.3_GD_System\VVR\PRD\SRD_1033_TFS_2361 Samples - Import - Able to import csv file that contains sample name with invalid charactors\Test Data


  "
,,,,Verification,GDP-Verfication-1230,Case1: GDSystem Updates from 2.3.1.15 ----> 2.3.3.x,
,,,,Verification,GDP-Verfication-1232,Case2: Fresh and clean install 2.3.3.x,
,,,,Folder,GDP-FLD-66,SRD1036,
,,,,Verification,GDP-Verfication-1506,Overview,"Test Case, Written By:  Hoang Thai  Date: 10/17/2017          Reviewed By:    Bruce Brennan             Date: 0/17/2017

PRD SRD 1036 TFS 3624 No vertical scroll bar seen in the Approval Page - Comments field when text exceeds height of comment box

Pre-requisites: 
1. Ensure that some tests are run
2. Do the following cases (set the comment requirements via General Settings page, Test Approval checkboxes)
- All comments are required
- Test Comments is required only
- Test Comment and OOS comment are required 
- Test Comment and General Comment are required 
Note: Please copy all Test Data to \\10.0.0.48\sqa\2.3.2_SW_Project\VVR\PRD\TFS_3624 No vertical scroll bar seen in the Approval Page - Comments field when text exceeds height of comment box\Test Data"
,,,,Verification,GDP-Verfication-848,Approve Page Test: Test Comment Field vertical scroll bar display (all comments required),
,,,,Verification,GDP-Verfication-849,Approve Page Test: Pass/ Cancelled Comment Field vertical bar display (all comments required),
,,,,Verification,GDP-Verfication-850,Approve Page Test: General Field vertical scroll bar display (all comments required),
,,,,Verification,GDP-Verfication-851,Approve Page Test: Test Comment Field vertical scroll bar display (test comments required only),
,,,,Verification,GDP-Verfication-852,Approve Page Test: Pass/ Cancelled Comment Field vertical bar display(test comments required only),
,,,,Verification,GDP-Verfication-853,Approve Page Test: General Field vertical scroll bar display(test comments required only),
,,,,Verification,GDP-Verfication-854,Approve Page Test: Test Comment Field vertical scroll bar display (test comment and OOS comment required),
,,,,Verification,GDP-Verfication-855,Approve Page Test: Pass/ Cancelled Comment Field vertical bar display (test comment and OOS comment required),
,,,,Verification,GDP-Verfication-856,Approve Page Test: General Field vertical scroll bar display (test comment and OOS comment required),
,,,,Verification,GDP-Verfication-857,Approve Page Test: Test Comment Field vertical scroll bar display (test comment and general comment required),
,,,,Verification,GDP-Verfication-858,Approve Page Test: Pass/ Cancelled Comment Field vertical bar display (test comment and general comment required),
,,,,Verification,GDP-Verfication-859,Approve Page Test: General Field vertical scroll bar display (test comment and general comment required),
,,,,Folder,GDP-FLD-67,SRD1039,
,,,,Verification,GDP-Verfication-1507,Overview,"Test Case, Written By:  Hoang Thai  Date: 10/17/2017          Reviewed By:    Bruce Brennan             Date: 0/17/2017

PRD SRD 1039 TFS 3462 BUI text's bottom is cut off, ""The following doors are left Open during Init...""

Pre-requisites: 
1. 
2. 
Note: Please copy all Test Data to \\10.0.0.48\sqa\2.3.2_SW_Project\VVR\PRD\TFS_2469 Email logs Only last 3 numbers of System serial number is displayed in the email's subject and body . It should display full system serial number - E12345678\Test Data"
,,,,Verification,GDP-Verfication-861,Test: BUI bottom Text message is not cut off,
,,,,Folder,GDP-FLD-68,"SRD1037  IT Settings, unable to save new local destination for logs after changing location and selecting Copy Now button.",
,,,,Verification,GDP-Verfication-1508,Overview,"Test Case, Written By: Hoang Thai Date: 10/17/2017 Reviewed By: Bruce Brennan Date: 0/17/2017



PRD SRD 1037 TFS 3394 In IT Settings, unable to save new local destination for logs after changing location and selecting Copy Now button.



Pre-requisites:

1.

2.

Note: Please copy all Test Data to \\10.0.0.48\sqa\2018_SW_Projects\2.3.3_GD_System\VVR\PRD\SRD1037 TFS3394  In IT Settings, unable to save new local destination for logs after changing location and selecting Copy Now button"
,,,,Verification,GDP-Verfication-863,IT Setting page Test: Save button doesn't becomes disabled forever when click update several times," 


  "
,,,,Folder,GDP-FLD-69,SRD1041 Copy and Email Logs should accept and send out to multiple recipients,
,,,,Verification,GDP-Verfication-1509,Overview,"Test Case, Written By: Hoang Thai Date: 10/25/2017 Reviewed By: Bruce Brennan Date: 0/25/2017



PRD SRD 1041 TFS 2538 Copy and Email Logs should accept and send out to multiple recipients



Pre-requisites:

1. See How to configure email on system email from \\10.0.0.48\sqa\2018_SW_Projects\2.3.3_GD_System\VVR\PRD\SRD1041 TFS2538 Copy and Email Logs should accept and send out to multiple recipients

2. Verify test email can be sent out without any issue

Note: RMB Exchange server limited to a 25 MB attachment if the attachment is larger than that it will not be delivered. Please double check with RMB IT for accurate allowable attachment size."
,,,,Verification,GDP-Verfication-865,Copy and Email Diagnostics FileTest: can send system logs to multiple recipients- One day range- Two recipients,This test case is to test the email client can send out for multiple email addresses at the same time
,,,,Verification,GDP-Verfication-866,Copy and Email Diagnostics FileTest: can send system logs to multiple recipients- One day range- Four recipients,This test case is to test sending one day rang system logs for multiple email addresses 
,,,,Verification,GDP-Verfication-867,Copy and Email Diagnostics FileTest: can send system logs to multiple recipients- One day range- 10 recipients,
,,,,Verification,GDP-Verfication-868,Copy and Email Diagnostics FileTest: can send system logs to multiple recipients- 5 days range- Two recipients,
,,,,Verification,GDP-Verfication-869,Copy and Email Diagnostics FileTest: can send system logs to multiple recipients- 5 days range- 15 recipients,
,,,,Verification,GDP-Verfication-870,Confirm that a bad email address does not prevent the mail server from sending to the other addresses.,
,,,,Verification,GDP-Verfication-871,Test spaces (blank characters)are trimmed or ignored,
,,,,Verification,GDP-Verfication-872,Test that a semicolon is sufficient to separate recipient addresses (a blank space is not required),
,,,,Verification,GDP-Verfication-873,Test that a semicolons not required at the end of the recipient list,
,,,,Folder,GDP-FLD-70,SRD1043 Email logs: Only last 3 numbers of System serial number is displayed in the email's subject and body . It should display full system serial number - E12345678,
,,,,Verification,GDP-Verfication-1510,Overview,"Test Case, Written By: Hoang Thai Date: 10/25/2017 Reviewed By: Bruce Brennan Date: 0/25/2017



PRD SRD 1043 TFS 2469 Email logs: Only last 3 numbers of System serial number is displayed in the email's subject and body . It should display full system serial number - E12345678



Pre-requisites:

1. IT settings, System Email, configure System email

2. Ensure that the test email is sent out and delivered to destination



Note: Please copy all Test Data to \\10.0.0.48\sqa\2018_SW_Projects\2.3.3_GD_System\VVR\PRD\SRD1043 TFS2469 Email logs Only last 3 numbers of System serial number is displayed in the email's subject and body . It should display full system serial number - E12345678"
,,,,Verification,GDP-Verfication-875,Copy and Email: Test Email subject and body contain Full system serial number - One email address,
,,,,Verification,GDP-Verfication-876,Copy and Email FilesTest: Displays Full system serial number in Email subject and body- Two email addresses,
,,,,Verification,GDP-Verfication-877,Copy and Email FilesTest: Displays Full system serial number in Email subject and body- 10 email addresses,
,,,,Folder,GDP-FLD-71,SRD1044,
,,,,Verification,GDP-Verfication-1511,Overview,"Test Case, Written By:  Hoang Thai  Date: 10/27/2017          Reviewed By:    Bruce Brennan             Date: 0/27/2017

PRD SRD 1044 TFS 2642: Feature request - System should not allow multiple record selection in Test Report page

Pre-requisites: 
1. Ensure that at least 10 completed Test or running Test are available for selection  
2."
,,,,Verification,GDP-Verfication-879,Test Report Test: System does not allow multiple record in Test Report page to be Printed or Saved to PDF,
,,,,Verification,GDP-Verfication-880,Details Page Test: Not allow to select multiple cassette records at the same time,
,,,,Folder,GDP-FLD-72,SRD1046 Copy and Email Diagnostic Files has inconsistent directory selection,
,,,,Verification,GDP-Verfication-881,Overview,"Test Case, Written By: Hoang Thai Date: 10/31/2017 Reviewed By: Bruce Brennan Date: 0/31/2017



PRD SRD 1046 TFS 3520: Copy and Email Diagnostic Files has inconsistent directory selection



Pre-requisites:

1. A USB drive is plugged into System server

2.

Note: Copy all Test data to \\10.0.0.48\sqa\2018_SW_Projects\2.3.3_GD_System\VVR\PRD\SRD1046 TFS3520 Copy and Email Diagnostic Files has inconsistent directory selection"
,,,,Verification,GDP-Verfication-882,Copy and Email File - System Log Files Test: Allow to navigate to a destination path on local drive,"This test case is to test that Optionally Save Zip files can be navigated and saved to destination paths


  


   "
,,,,Verification,GDP-Verfication-1474,Copy and Email File - System Log Files Test: Allow to navigate to a long file name destination path on local drive,"This test case is to test that Optionally Save Zip files can be navigated and saved to long destination destination paths


  


  


  


  "
,,,,Verification,GDP-Verfication-1468,Copy and Email File - System Log Files Test: Allow to navigate to a destination path on USB drive,"This test case is to test that Optionally Save Zip files can be navigated and saved to USB destination


  


  


  "
,,,,Verification,GDP-Verfication-883,Copy and Email File - System Logs Files Test: Allow to type in a destination path on local drive,
,,,,Verification,GDP-Verfication-1469,Copy and Email File - System Logs Files Test: Allow to type in a destination path on USB drive,
,,,,Verification,GDP-Verfication-884,Copy and Email File - Vision log files Test: Allow to navigate to destination path on Local drive,
,,,,Verification,GDP-Verfication-1470,Copy and Email File - Vision log files Test: Allow to navigate to destination path on USB drive,
,,,,Verification,GDP-Verfication-885,Copy and Email File - Vision log files Test: Allow to type in a destination path on local drive,
,,,,Verification,GDP-Verfication-1471,Copy and Email File - Vision log files Test: Allow to type in a destination path on USB drive,
,,,,Verification,GDP-Verfication-886,Copy and Email File - Image Files Test: Allow to navigate to a destination path on local drive,
,,,,Verification,GDP-Verfication-1472,Copy and Email File - Image Files Test: Allow to navigate to a destination path on USB drive,
,,,,Verification,GDP-Verfication-887,Copy and Email File - Image Files Test: Allow to type in a destination path on local drive,
,,,,Verification,GDP-Verfication-1473,Copy and Email File - Image Files Test: Allow to type in a destination path on USB drive,
,,,,Folder,GDP-FLD-116,SRD1049_Remove email from user page should disable all email notification associated with this user,
,,,,Verification,GDP-Verfication-1512,Overview,"Test Case, Written By: Hoang Thai Date: 11/1/2017 Reviewed By: Bruce Brennan Date: 11/1/2017



PRD SRD 1049 TFS 3335: Remove email from user page should disable all email notification associated with this user.


  


 SW Dev Note:  Now the Email Notifications view shows only the users whose emails aren't empty. Also, if in the User screen we delete an email address and save, all email notifications for that user will be reset to ""No"". 



Pre-requisites:



Note: see screenshots and copy all related info into \\10.0.0.48\sqa\2.3.2_SW_Project\VVR\PRD\TFS_3335 Remove email from user page should disable all email notification associated with this user"
,,,,Verification,GDP-Verfication-1333,Deleted user Test,
,,,,Folder,GDP-FLD-74,SRD1050 Unable to save the change after deleting an email address in the recipient field; the save button is not active,
,,,,Verification,GDP-Verfication-1513,Overview,"Test Case, Written By: Hoang Thai Date: 11/2/2017 Reviewed By: Bruce Brennan Date: 11/2/2017



PRD SRD 1050 TFS_3393 Unable to save the change after deleting an email address in the recipient field; the save button is not active



Pre-requisites:

Copy all test data into \\10.0.0.48\sqa\2018_SW_Projects\2.3.3_GD_System\VVR\PRD\SRD1050 TFS3393 Unable to save the change after deleting an email address in the recipient field; the save button is not active



The test case demonstrates deleting email address on IT Settings Page"
,,,,Verification,GDP-Verfication-889,System Email section (case 1) Test: Save button is active after a change is made,
,,,,Verification,GDP-Verfication-890,System Email section (case 2) Test: Save button is active after a change is made,
,,,,Verification,GDP-Verfication-891,Database backup section Test: Save button is active after a change is made,
,,,,Verification,GDP-Verfication-892,Network Credentials Test: Save button is active after a change is made,
,,,,Folder,GDP-FLD-75,SRD1058,
,,,,Verification,GDP-Verfication-1514,Overview,"Test Case, Written By:  Hoang Thai  Date: 11/7/2017          Reviewed By:    Bruce Brennan             Date: 11/7/2017

PRD SRD 1058 TFS 3463 GD2 System sends labels to offline label printer (powered off)

Pre-requisites: 
1. GD system LIMS is ready and 
2. Bridge computer, copy LIMSInputFileGenerator.exe from  \\10.0.0.48\sqa\2.3.2_SW_Project\LIMS\LIMS Simulator Tool
Please see screenshot and copy all test data into \\10.0.0.48\sqa\2.3.2_SW_Project\VVR\PRD\TFS_3463 GD2 System sends labels to offline label printer (powered off)"
,,,,Verification,GDP-Verfication-894,Configuration1 for Sample Labels,
,,,,Verification,GDP-Verfication-895,Configuration1 for LIMS Label,
,,,,Verification,GDP-Verfication-896,Sample labels Test: Printer offline message is displayed when power-off,
,,,,Verification,GDP-Verfication-897,Sample Labels Test: Print out Sample labels when power-on,
,,,,Verification,GDP-Verfication-898,Sample labels Test: Printer offline message is displayed when Network cable is unplugged,
,,,,Verification,GDP-Verfication-899,Sample Labels Test: Print out Sample labels when Network cable is re-connected,
,,,,Verification,GDP-Verfication-900,LIMS labels Test: Printer offline message is displayed when power-off,
,,,,Verification,GDP-Verfication-901,LIMS labels Test: Print out LIMS labels when power-on,
,,,,Verification,GDP-Verfication-902,LIMS labels Test: Printer offline message is displayed when network cable is unplugged,
,,,,Verification,GDP-Verfication-903,LIMS labels Test: Print out LIMS labels when power-on when network cable is re-connected,
,,,,Folder,GDP-FLD-76,SRD1006,
,,,,Verification,GDP-Verfication-1515,Overview,"Test Case, Written By:  Chris Winsor  Date: 1/22/2018          Reviewed By:                 Date: 

PRD SRD 1006 TFS 3707 On detecting duplicate SN while loading cassettes, the duplicate cassette shall be moved to Output Queue.

Expectations:
A message ""A duplicate cassette was loaded by USER.Â  SN E000000XYZ."" appears in the alarms tab of the System Information on the Home Screen.
An email ""A duplicate cassette was loaded by USER. SN E00000XYZ."" is received by user with Cassette Alarms notifications enabled.
No such email email is received by user with Cassette Alarms notifications disabled
An entry in the audit trail is made recording the event, time/date it occurred and USER that loaded the cassette.
Verify the System moves the duplicate cassette to the Output Queue.
Verify the loading of non-duplicate cassets is not blocked by the duplicate casset.


Pre-requisites:"
,,,,Verification,GDP-Verfication-905,Configuration step 0,
,,,,Verification,GDP-Verfication-906,Configuration step 1,
,,,,Verification,GDP-Verfication-907,Configuration Step 2,
,,,,Verification,GDP-Verfication-908,Configuration Step 3,
,,,,Verification,GDP-Verfication-909,Configuration Step 4,
,,,,Verification,GDP-Verfication-910,Configuration Step 5,
,,,,Verification,GDP-Verfication-911,Test Case 1a:Serial Numbers (unique)Sample Labels (duplicate),
,,,,Verification,GDP-Verfication-912,Test Case 1b:Serial Numbers (duplicate)Sample Labels (unique),
,,,,Verification,GDP-Verfication-913,Test Case 1c:Serial Numbers (duplicate)Sample Labels (duplicate),
,,,,Verification,GDP-Verfication-914,Test Case 1d:Confirm the loading of non-duplicate cassettes is not blocked by a duplicate cassette,
,,,,Verification,GDP-Verfication-915,"Test Case 2a,b,c:Repeat above using Filtration cassettes",
,,,,Folder,GDP-FLD-77,SRD1005,
